"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"lksbanut  ","P",03/07/2018 9:00,1,1,1         ,1         ,"{CIP}",0.0070,<-4> [SBL] ,0.19,<0>  ,0.018,<-4> [SBL] ,"",<-4> [SCB] ,0.479,<0>  ,1.2,<0>  ,
"lksbanut  ","P",03/07/2018 9:01,1,1,1         ,2         ,"{CIP}",0.0070,<0>  ,0.159,<0>  ,0.018,<-4> [SBL] ,"",<-4> [SCB] ,0.484,<0>  ,1.1,<0>  ,
"lksbanut  ","P",04/23/2018 12:00,1,1,2         ,1         ,"",0.0070,<-4> [SBL] (CHB) ,0.093,<1> [GQS] ,0.018,<-4> [SBL] ,"",<-4> [SCB] (CHB) ,0.368,<1> (CHB) ,7.4,<1> (CHB) ,
"lksbanut  ","P",04/23/2018 14:00,1,1,2         ,1         ,"",0.0070,<-4> [SBL] (CHB) ,0.107,<1> [GQS] ,0.018,<-4> [SBL] ,"",<-4> [SCB] (CHB) ,0.335,<1> (CHB) ,4.5,<1> (CHB) ,
"lksbanut  ","P",04/23/2018 16:00,1,1,2         ,1         ,"",0.0070,<-4> [SBL] (CHB) ,0.097,<1> [GQS] ,0.018,<-4> [SBL] ,"",<-4> [SCB] (CHB) ,0.368,<1> (CHB) ,7.8,<1> (CHB) ,
"lksbanut  ","P",04/23/2018 18:00,1,1,2         ,1         ,"",0.0070,<1> (CHB) ,0.124,<1> [GQS] ,0.018,<-4> [SBL] ,"",<-4> [SCB] (CHB) ,0.364,<1> (CHB) ,7.4,<1> (CHB) ,
"lksbanut  ","P",04/23/2018 20:00,1,1,2         ,1         ,"",0.01,<1> (CHB) ,0.146,<1> [GQS] ,0.018,<-4> [SBL] ,"",<-4> [SCB] (CHB) ,0.372,<1> (CHB) ,0.6,<1> (CHB) ,
"lksbanut  ","P",04/23/2018 22:00,1,1,2         ,1         ,"",0.0070,<-4> [SBL] (CHB) ,0.125,<1> [GQS] ,0.018,<-4> [SBL] ,"",<-4> [SCB] (CHB) ,0.363,<1> (CHB) ,"",<-2> [GDM] ,
"lksbanut  ","P",04/24/2018 0:00,1,1,2         ,1         ,"",0.0070,<-4> [SBL] (CHB) ,0.111,<1> [GQS] ,0.018,<-4> [SBL] ,"",<-4> [SCB] (CHB) ,0.345,<1> (CHB) ,"",<-2> [GDM] ,
"lksbanut  ","P",04/24/2018 2:00,1,1,2         ,1         ,"",0.0070,<1> (CHB) ,0.118,<1> [GQS] ,0.018,<-4> [SBL] ,"",<-4> [SCB] (CHB) ,0.357,<1> (CHB) ,"",<-2> [GDM] ,
"lksbanut  ","P",04/24/2018 4:00,1,1,2         ,1         ,"",0.0070,<-4> [SBL] (CHB) ,0.106,<1> [GQS] ,0.018,<-4> [SBL] ,"",<-4> [SCB] (CHB) ,0.348,<1> (CHB) ,"",<-2> [GDM] ,
"lksbanut  ","P",04/24/2018 6:00,1,1,2         ,1         ,"",0.011,<1> (CHB) ,0.138,<1> [GQS] ,0.018,<-4> [SBL] ,"",<-4> [SCB] (CHB) ,0.289,<1> (CHB) ,"",<-2> [GDM] ,
"lksbanut  ","P",04/24/2018 8:00,1,1,2         ,1         ,"",0.0070,<-4> [SBL] (CHB) ,0.12,<1> [GQS] ,0.018,<-4> [SBL] ,"",<-4> [SCB] (CHB) ,0.355,<1> (CHB) ,"",<-2> [GDM] ,
"lksbanut  ","P",04/24/2018 10:00,1,1,2         ,1         ,"",0.0090,<1> (CHB) ,0.11,<1> [GQS] ,0.018,<-4> [SBL] ,"",<-4> [SCB] (CHB) ,0.345,<1> (CHB) ,"",<-2> [GDM] ,
"lksbanut  ","P",04/24/2018 14:44,1,1,1         ,1         ,"",0.0070,<-4> [SBL] (CHB) ,0.094,<1> [GQS] ,0.018,<-4> [SBL] ,"",<-4> [SCB] (CHB) ,0.335,<1> (CHB) ,5.5,<1> (CHB) ,
"lksbanut  ","P",04/24/2018 14:45,1,1,1         ,2         ,"",0.0070,<1> (CHB) ,0.091,<1> [GQS] ,0.018,<-4> [SBL] ,"",<-4> [SCB] (CHB) ,0.344,<1> (CHB) ,5.6,<1> (CHB) ,
"lksbanut  ","P",05/21/2018 10:00,1,1,2         ,1         ,"",0.0070,<-4> [SBL] ,0.041,<0>  ,0.019,<0>  ,0.236,<1> (CHB) ,0.255,<1> (CHB) ,9.1,<0>  ,
"lksbanut  ","P",05/21/2018 12:00,1,1,2         ,1         ,"",0.0070,<-4> [SBL] ,0.038,<0>  ,0.018,<-4> [SBL] ,"",<-4> [SCB] (CHB) ,0.253,<1> (CHB) ,10.1,<0>  ,
"lksbanut  ","P",05/21/2018 14:00,1,1,2         ,1         ,"",0.0070,<-4> [SBL] ,0.035,<0>  ,0.018,<-4> [SBL] ,"",<-4> [SCB] (CHB) ,0.258,<1> (CHB) ,10.1,<0>  ,
"lksbanut  ","P",05/21/2018 16:00,1,1,2         ,1         ,"",0.0070,<-4> [SBL] ,0.015,<0>  ,0.018,<-4> [SBL] ,"",<-4> [SCB] (CHB) ,0.243,<1> (CHB) ,11.1,<0>  ,
"lksbanut  ","P",05/21/2018 18:00,1,1,2         ,1         ,"",0.0070,<-4> [SBL] ,0.016,<0>  ,0.018,<-4> [SBL] ,"",<-4> [SCB] (CHB) ,0.247,<1> (CHB) ,10.4,<0>  ,
"lksbanut  ","P",05/21/2018 20:00,1,1,2         ,1         ,"",0.0070,<-4> [SBL] ,0.021,<0>  ,0.018,<-4> [SBL] ,"",<-4> [SCB] (CHB) ,0.248,<1> (CHB) ,9.9,<0>  ,
"lksbanut  ","P",05/21/2018 22:00,1,1,2         ,1         ,"",0.0070,<-4> [SBL] ,0.03,<0>  ,0.018,<-4> [SBL] ,"",<-4> [SCB] (CHB) ,0.25,<1> (CHB) ,9.7,<0>  ,
"lksbanut  ","P",05/22/2018 0:00,1,1,2         ,1         ,"",0.0070,<-4> [SBL] ,0.036,<0>  ,0.018,<0>  ,0.237,<1> (CHB) ,0.255,<1> (CHB) ,10.9,<0>  ,
"lksbanut  ","P",05/22/2018 2:00,1,1,2         ,1         ,"",0.0080,<0>  ,0.036,<0>  ,0.018,<0>  ,0.247,<1> (CHB) ,0.265,<1> (CHB) ,10.0,<0>  ,
"lksbanut  ","P",05/22/2018 4:00,1,1,2         ,1         ,"",0.0070,<-4> [SBL] ,0.048,<0>  ,0.018,<0>  ,0.249,<1> (CHB) ,0.267,<1> (CHB) ,10.6,<0>  ,
"lksbanut  ","P",05/22/2018 6:00,1,1,2         ,1         ,"",0.0070,<-4> [SBL] ,0.069,<0>  ,0.02,<0>  ,0.263,<1> (CHB) ,0.283,<1> (CHB) ,11.5,<0>  ,
"lksbanut  ","P",05/22/2018 8:00,1,1,2         ,1         ,"",0.0070,<-4> [SBL] ,0.051,<0>  ,0.02,<0>  ,0.248,<1> (CHB) ,0.268,<1> (CHB) ,11.0,<0>  ,
"lksbanut  ","P",05/22/2018 13:27,1,1,1         ,1         ,"",0.0070,<0>  ,0.047,<0>  ,0.018,<-4> [SBL] ,"",<-4> [SCB] (CHB) ,0.266,<1> (CHB) ,9.9,<0>  ,
"lksbanut  ","P",05/22/2018 13:28,1,1,1         ,2         ,"",0.0070,<-4> [SBL] ,0.042,<0>  ,0.018,<-4> [SBL] ,"",<-4> [SCB] (CHB) ,0.248,<1> (CHB) ,9.7,<0>  ,
"lksbanut  ","P",06/20/2018 12:00,1,1,2         ,1         ,"",0.0070,<-4> [SBL] (CHB) ,0.025,<1> (CHB) ,0.018,<-4> [SBL] ,"",<-4> [SCB] ,0.163,<0>  ,1.1,<0>  ,
"lksbanut  ","P",06/20/2018 14:00,1,1,2         ,1         ,"",0.0070,<-4> [SBL] (CHB) ,0.024,<1> (CHB) ,0.018,<-4> [SBL] ,"",<-4> [SCB] ,0.165,<0>  ,2.3,<0>  ,
"lksbanut  ","P",06/20/2018 16:00,1,1,2         ,1         ,"",0.0070,<-4> [SBL] (CHB) ,0.014,<-4> [SBL] (CHB) ,0.018,<-4> [SBL] ,"",<-4> [SCB] ,0.157,<0>  ,0.7,<0>  ,
"lksbanut  ","P",06/20/2018 18:00,1,1,2         ,1         ,"",0.0070,<-4> [SBL] (CHB) ,0.014,<-4> [SBL] (CHB) ,0.018,<-4> [SBL] ,"",<-4> [SCB] ,0.16,<0>  ,2.4,<0>  ,
"lksbanut  ","P",06/20/2018 20:00,1,1,2         ,1         ,"",0.0070,<-4> [SBL] (CHB) ,0.014,<-4> [SBL] (CHB) ,0.018,<-4> [SBL] ,"",<-4> [SCB] ,0.161,<0>  ,1.9,<0>  ,
"lksbanut  ","P",06/20/2018 22:00,1,1,2         ,1         ,"",0.0070,<-4> [SBL] (CHB) ,0.015,<1> (CHB) ,0.018,<-4> [SBL] ,"",<-4> [SCB] ,0.158,<0>  ,3.1,<0>  ,
