"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"lksolnut  ","P",02/28/2018 9:04,1,1,1         ,1         ,"{CIP}",0.0070,<-4> [SBL] ,0.04,<0>  ,0.018,<-4> [SBL] ,"",<-4> [SCB] (CHB) ,0.416,<1> (CHB) ,1.9,<0>  ,
"lksolnut  ","P",02/28/2018 9:05,1,1,1         ,2         ,"{CIP}",0.0070,<-4> [SBL] ,0.039,<0>  ,0.018,<-4> [SBL] ,"",<-4> [SCB] (CHB) ,0.413,<1> (CHB) ,1.4,<0>  ,
"lksolnut  ","P",05/22/2018 11:00,1,1,1         ,1         ,"",0.0070,<-4> [SBL] ,0.047,<0>  ,0.018,<-4> [SBL] ,"",<-4> [SCB] (CHB) ,0.11,<1> (CHB) ,8.3,<0>  ,
"lksolnut  ","P",05/22/2018 11:01,1,1,1         ,2         ,"",0.0070,<-4> [SBL] ,0.042,<0>  ,0.018,<-4> [SBL] ,"",<-4> [SCB] (CHB) ,0.129,<1> (CHB) ,6.7,<0>  ,
"lksolnut  ","P",06/21/2018 11:21,1,1,1         ,1         ,"",0.011,<1> (CHB) ,0.02,<1> (CHB) ,0.018,<-4> [SBL] ,"",<-4> [SCB] ,0.094,<0>  ,0.3,<0>  ,
"lksolnut  ","P",06/21/2018 11:23,1,1,1         ,2         ,"",0.012,<1> (CHB) ,0.018,<1> (CHB) ,0.018,<-4> [SBL] ,"",<-4> [SCB] ,0.098,<0>  ,0.5,<0>  ,
"lksolnut  ","P",07/24/2018 11:29,1,1,1         ,1         ,"",0.017,<0>  ,0.038,<0>  ,0.018,<-4> [SBL] ,"",<-4> [SCB] (CHB) ,0.126,<1> [GQS] (CHB) ,2.2,<0>  ,
"lksolnut  ","P",07/24/2018 11:30,1,1,1         ,2         ,"",0.015,<0>  ,0.038,<0>  ,0.018,<-4> [SBL] ,"",<-4> [SCB] (CHB) ,0.134,<1> [GQS] (CHB) ,1.9,<0>  ,
"lksolnut  ","P",08/22/2018 10:31,1,1,1         ,1         ,"",0.012,<1> (CHB) ,0.014,<-4> [SBL] (CHB) ,0.044,<0>  ,0.0060,<1> (CHB) ,0.05,<1> (CHB) ,4.2,<0>  ,
"lksolnut  ","P",08/22/2018 10:34,1,1,1         ,2         ,"",0.013,<1> (CHB) ,0.014,<-4> [SBL] (CHB) ,0.045,<0>  ,0.01,<1> (CHB) ,0.055,<1> (CHB) ,2.5,<0>  ,
"lksolnut  ","P",09/25/2018 9:27,1,1,1         ,1         ,"","",<-2> [GDM] ,"",<-2> [GDM] ,"",<-2> [GDM] ,"",<-2> [GCM] ,"",<-2> [GDM] ,0.7,<0>  ,
"lksolnut  ","P",09/25/2018 9:28,1,1,1         ,2         ,"","",<-2> [GDM] ,"",<-2> [GDM] ,"",<-2> [GDM] ,"",<-2> [GCM] ,"",<-2> [GDM] ,0.5,<0>  ,
"lksolnut  ","P",10/30/2018 11:45,1,1,1         ,1         ,"","",<-2> [GDM] ,"",<-2> [GDM] ,"",<-2> [GDM] ,"",<-2> [GCM] ,"",<-2> [GDM] ,0.5,<0>  ,
"lksolnut  ","P",10/30/2018 11:48,1,1,1         ,2         ,"","",<-2> [GDM] ,"",<-2> [GDM] ,"",<-2> [GDM] ,"",<-2> [GCM] ,"",<-2> [GDM] ,0.6,<0>  ,

