"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"lksponut  ","P",05/06/2021 14:00,0,1,1         ,1         ,"",0.02,<0>  ,"",<-2> (CSM) ,0.01,<-4> [SBL] ,"",<-4> [SCB] ,0.033,<0>  ,10.9,<0>  ,
"lksponut  ","P",05/06/2021 14:02,0,1,1         ,2         ,"",0.022,<0>  ,"",<-2> (CSM) ,0.01,<-4> [SBL] ,"",<-4> [SCB] ,0.03,<-4> [SBL] ,10.4,<0>  ,
"lksponut  ","P",06/08/2021 10:15,0,1,1         ,1         ,"",0.32,<0>  ,0.029,<0>  ,0.0070,<-4> [SBL] ,"",<-4> [SCB] ,0.01,<0>  ,1.6,<0>  ,
"lksponut  ","P",06/08/2021 10:17,0,1,1         ,2         ,"",0.36,<0>  ,0.03,<0>  ,0.0070,<-4> [SBL] ,"",<-4> [SCB] ,0.01,<0>  ,5.9,<0>  ,
"lksponut  ","P",07/13/2021 15:00,0,1,1         ,1         ,"",0.05,<0>  ,0.0090,<-4> [SBL] ,0.0070,<-4> [SBL] ,"",<-4> [SCB] ,0.0080,<-4> [SBL] ,11.9,<0>  ,
"lksponut  ","P",07/13/2021 15:05,0,1,1         ,2         ,"",0.05,<0>  ,0.0090,<-4> [SBL] ,0.0070,<-4> [SBL] ,"",<-4> [SCB] ,0.0080,<-4> [SBL] ,10.3,<0>  ,
"lksponut  ","P",08/13/2021 10:45,0,1,1         ,1         ,"",0.08,<0>  ,0.0090,<-4> [SBL] ,0.0070,<-4> [SBL] ,"",<-4> [SCB] ,0.0080,<-4> [SBL] ,11.8,<0>  ,
"lksponut  ","P",08/13/2021 10:47,0,1,1         ,2         ,"",0.08,<0>  ,0.0090,<-4> [SBL] ,0.0070,<-4> [SBL] ,"",<-4> [SCB] ,0.0080,<-4> [SBL] ,10.6,<0>  ,
"lksponut  ","P",09/09/2021 10:05,0,1,1         ,1         ,"",0.01,<0>  ,0.0090,<-4> [SBL] ,0.0070,<-4> [SBL] ,"",<-4> [SCB] ,0.0080,<-4> [SBL] ,6.2,<0>  ,
"lksponut  ","P",09/09/2021 10:07,0,1,1         ,2         ,"",0.11,<0>  ,0.01,<0>  ,0.0070,<-4> [SBL] ,"",<-4> [SCB] ,0.0080,<-4> [SBL] ,4.5,<0>  ,
"lksponut  ","P",10/05/2021 10:50,0,1,1         ,1         ,"",0.12,<0>  ,0.06,<0>  ,0.0070,<-4> [SBL] ,"",<-4> [SCB] ,0.02,<0>  ,16.9,<0>  ,
"lksponut  ","P",10/05/2021 10:53,0,1,1         ,2         ,"",0.11,<0>  ,0.056,<0>  ,0.0070,<-4> [SBL] ,"",<-4> [SCB] ,0.02,<0>  ,12.2,<0>  ,
"lksponut  ","P",11/16/2021 11:30,0,1,1         ,1         ,"",0.11,<0>  ,0.042,<0>  ,0.0070,<-4> [SBL] ,"",<-4> [SCB] ,0.291,<0>  ,9.2,<0>  ,
"lksponut  ","P",11/16/2021 11:30,0,1,1         ,2         ,"",0.11,<0>  ,0.039,<0>  ,0.0070,<-4> [SBL] ,"",<-4> [SCB] ,0.291,<0>  ,8.5,<0>  ,

